date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:22:45	118523/118523	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20May%202025%2016:46:37%20GMT	https://www.diveinmedia.in/	C:/Users/Aakarist/Downloads/kianna/www.diveinmedia.in/index.html	(from )
00:22:46	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22735d3fecf0c890e7223535fa228e1c76%22	https://www.diveinmedia.in/robots.txt		(from )
00:22:46	104020/104020	---M-Z	200	added ('OK')	text/css	etag:%2244d68b0789619ff0b4d3847a8f919083%22	https://cdn.prod.website-files.com/639f4a68882c7f596d68a421/css/diveinmedia.webflow.46628f70c.min.css	C:/Users/Aakarist/Downloads/kianna/cdn.prod.website-files.com/639f4a68882c7f596d68a421/css/diveinmedia.webflow.46628f70c.min.css	(from https://www.diveinmedia.in/)
00:22:46	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/Aakarist/Downloads/kianna/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.diveinmedia.in/)
00:22:46	1295/1295	---M--	200	added ('OK')	image/png	etag:%22b7f546d3202a1aa6cabde64b1ad93a8a%22	https://cdn.prod.website-files.com/639f4a68882c7f596d68a421/63beefc546e1504965b7f1dc_favicon.png	C:/Users/Aakarist/Downloads/kianna/cdn.prod.website-files.com/639f4a68882c7f596d68a421/63beefc546e1504965b7f1dc_favicon.png	(from https://www.diveinmedia.in/)
00:22:47	22779/22779	---M--	200	added ('OK')	image/png	etag:%22b6d9f95041b43630451cbfe907256989%22	https://cdn.prod.website-files.com/639f4a68882c7f596d68a421/63beefc90b4e4ee8f4f97dba_webclip.png	C:/Users/Aakarist/Downloads/kianna/cdn.prod.website-files.com/639f4a68882c7f596d68a421/63beefc90b4e4ee8f4f97dba_webclip.png	(from https://www.diveinmedia.in/)
00:22:47	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2030%20May%202025%2018:52:45%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Aakarist/Downloads/kianna/www.googletagmanager.com/gtm.45445.delayed	(from https://www.diveinmedia.in/)
00:22:47	14289/14289	---M--	200	added ('OK')	image/png	etag:%22cd4d2a08fc1faf3486c427898d9bacfd%22	https://cdn.prod.website-files.com/639f4a68882c7f596d68a421/639f4b3566f416beee10ae96_nav-logo.png	C:/Users/Aakarist/Downloads/kianna/cdn.prod.website-files.com/639f4a68882c7f596d68a421/639f4b3566f416beee10ae96_nav-logo.png	(from https://www.diveinmedia.in/)
00:22:48	51499/51499	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20May%202025%2016:49:55%20GMT	https://www.diveinmedia.in/about-us	C:/Users/Aakarist/Downloads/kianna/www.diveinmedia.in/about-us.html	(from https://www.diveinmedia.in/)
00:22:48	96287/96287	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20May%202025%2005:25:24%20GMT	https://www.diveinmedia.in/services	C:/Users/Aakarist/Downloads/kianna/www.diveinmedia.in/services.html	(from https://www.diveinmedia.in/)
00:22:49	13834/13834	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22735d3fecf0c890e7223535fa228e1c76%22	https://www.diveinmedia.in/blog	C:/Users/Aakarist/Downloads/kianna/www.diveinmedia.in/blog	(from https://www.diveinmedia.in/)
00:22:49	30555/30555	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20May%202025%2005:25:11%20GMT	https://www.diveinmedia.in/contact	C:/Users/Aakarist/Downloads/kianna/www.diveinmedia.in/contact.html	(from https://www.diveinmedia.in/)
00:22:49	68193/68193	---M--	200	added ('OK')	image/png	etag:%2299b60eec563043cff81fcfe8bb50658f%22	https://cdn.prod.website-files.com/639f4a68882c7f596d68a421/6416a478f4c83ff769fea468_hero-2.png	C:/Users/Aakarist/Downloads/kianna/cdn.prod.website-files.com/639f4a68882c7f596d68a421/6416a478f4c83ff769fea468_hero-2.png	(from https://www.diveinmedia.in/)
00:22:49	51483/51483	---M--	200	added ('OK')	image/png	etag:%224e31e2e7b7a0e4479e0aa86b99e5bc19%22	https://cdn.prod.website-files.com/639f4a68882c7f596d68a421/63b7a4e26824181f3cd2c54e_Baidyanath_logo.png	C:/Users/Aakarist/Downloads/kianna/cdn.prod.website-files.com/639f4a68882c7f596d68a421/63b7a4e26824181f3cd2c54e_Baidyanath_logo.png	(from https://www.diveinmedia.in/)
00:22:49	16309/16309	---M--	200	added ('OK')	image/png	etag:%2296cd45da1abebd5acc2258261d37d0a0%22	https://cdn.prod.website-files.com/639f4a68882c7f596d68a421/63b7a4e2af60ce3e3ce7f0a0_KUKU-FM.png	C:/Users/Aakarist/Downloads/kianna/cdn.prod.website-files.com/639f4a68882c7f596d68a421/63b7a4e2af60ce3e3ce7f0a0_KUKU-FM.png	(from https://www.diveinmedia.in/)
00:22:50	7264/7264	---M--	200	added ('OK')	image/png	etag:%223aabbd865587747e9bc4f7a5dfdbd2cc%22	https://cdn.prod.website-files.com/639f4a68882c7f596d68a421/639f5cf43c2d5820ad88360c_sunova.png	C:/Users/Aakarist/Downloads/kianna/cdn.prod.website-files.com/639f4a68882c7f596d68a421/639f5cf43c2d5820ad88360c_sunova.png	(from https://www.diveinmedia.in/)
00:22:50	5804/5804	---M--	200	added ('OK')	image/png	etag:%222d2bac2cc80d4bb6aa9c3479160d6285%22	https://cdn.prod.website-files.com/639f4a68882c7f596d68a421/639f5cf466f4160fd111e4c5_greencure.png	C:/Users/Aakarist/Downloads/kianna/cdn.prod.website-files.com/639f4a68882c7f596d68a421/639f5cf466f4160fd111e4c5_greencure.png	(from https://www.diveinmedia.in/)
00:22:50	6175/6175	---M--	200	added ('OK')	image/png	etag:%22640212b84272cc227856c57ba4697a3e%22	https://cdn.prod.website-files.com/639f4a68882c7f596d68a421/639f5cf466f4163dbb11e4c6_relevel.png	C:/Users/Aakarist/Downloads/kianna/cdn.prod.website-files.com/639f4a68882c7f596d68a421/639f5cf466f4163dbb11e4c6_relevel.png	(from https://www.diveinmedia.in/)
00:22:50	8571/8571	---M--	200	added ('OK')	image/png	etag:%224ee63107d8410dde6cf3ac1a296bb94f%22	https://cdn.prod.website-files.com/639f4a68882c7f596d68a421/639f5cf4515851d499dc0f82_ekacare.png	C:/Users/Aakarist/Downloads/kianna/cdn.prod.website-files.com/639f4a68882c7f596d68a421/639f5cf4515851d499dc0f82_ekacare.png	(from https://www.diveinmedia.in/)
00:22:51	2692/2692	---M--	200	added ('OK')	image/png	etag:%2260a3ac28f1adf5afd1a1eb1fa4d919a3%22	https://cdn.prod.website-files.com/639f4a68882c7f596d68a421/63b79ff5476f22645eb25f21_gamezy-t.png	C:/Users/Aakarist/Downloads/kianna/cdn.prod.website-files.com/639f4a68882c7f596d68a421/63b79ff5476f22645eb25f21_gamezy-t.png	(from https://www.diveinmedia.in/)
00:22:51	6366/6366	---M--	502	error ('Bad%20Gateway')	text/html	date:Fri,%2030%20May%202025%2018:52:49%20GMT	https://www.diveinmedia.in/%22https://cdn.prod.website-files.com/639f4a68882c7f596d68a421%2F67e03dfd3b1fbd33107320c6_ift-02-o-poster-00001.jpg%22	C:/Users/Aakarist/Downloads/kianna/www.diveinmedia.in/_https_/cdn.prod.website-files.com/639f4a68882c7f596d68a421/67e03dfd3b1fbd33107320c6_ift-02-o-poster-00001.jpg_	(from https://www.diveinmedia.in/)
00:22:51	10464/10464	---M--	200	added ('OK')	image/jpeg	etag:%22df66e6e1ed73649977118c0a0e635f67%22	https://cdn.prod.website-files.com/639f4a68882c7f596d68a421%2F67e03dfd3b1fbd33107320c6_ift-02-o-poster-00001.jpg	C:/Users/Aakarist/Downloads/kianna/cdn.prod.website-files.com/639f4a68882c7f596d68a421/67e03dfd3b1fbd33107320c6_ift-02-o-poster-00001.jpg	(from https://www.diveinmedia.in/)
